,name,salary,address,gender,email,birthdaydate,university,GPA,test,IsMarried,partition
2,qossay,1790,hebron,Female,sioynihkgp@asaltech.com,1986-04-19,al-quds,94,value3,False,9
15,qossay,1371,hebron,Female,clalfkrkzb@asaltech.com,1988-04-22,al-quds,75,value1,False,2
31,qossay,1675,nablus,Female,spvccnrzzs@asaltech.com,1991-08-10,al-quds,69,value1,False,0
40,qossay,928,nablus,Female,whajprznfq@asaltech.com,1981-07-10,birzeit,72,value3,False,0
58,qossay,3049,Bethlehem,Female,zvtwciagts@asaltech.com,1997-03-08,birzeit,90,value3,False,8
65,qossay,3747,rawabi,Female,rglbfltvfi@asaltech.com,1989-04-17,al-quds,81,value1,False,7
76,qossay,4834,rawabi,Female,hyaijpltoa@asaltech.com,1996-04-19,birzeit,79,value2,True,9
112,qossay,4412,Salfit,Female,quylicdfhe@asaltech.com,1986-02-18,al-quds,73,value2,False,8
117,qossay,3608,hebron,Female,owupfyrkkx@asaltech.com,1986-10-26,birzeit,89,value1,False,6
124,qossay,3858,amman,Female,wcimbiuxjz@asaltech.com,1987-07-11,birzeit,96,value3,True,1
132,qossay,1630,Jenin ,Female,xmlkhaogci@asaltech.com,1991-01-28,najah,65,value2,True,8
170,qossay,2121,Jerusalem,Female,wisegmdgpb@asaltech.com,1998-07-27,al-quds,86,value1,False,7
183,qossay,2891,hebron,Female,ptdredskau@asaltech.com,1983-12-05,al-quds,65,value1,True,5
202,qossay,4772,rawabi,Female,llvlucglvj@asaltech.com,1983-09-09,najah,97,value3,False,9
205,qossay,4821,nablus,Female,ysimweionc@asaltech.com,2000-04-18,najah,91,value2,True,8
209,qossay,3849,rammallah,Female,uuysoeyxmq@asaltech.com,1989-01-21,birzeit,94,value1,False,1
212,qossay,2792,rawabi,Female,vcyvdcvdzz@asaltech.com,1992-02-23,najah,65,value1,True,3
231,qossay,1232,Bethlehem,Female,kfcyhhtdgb@asaltech.com,1995-12-28,birzeit,84,value1,True,8
256,qossay,2610,rammallah,Female,vpjexcdpkr@asaltech.com,1993-09-28,birzeit,73,value2,False,8
262,qossay,1392,Bethlehem,Female,nzhismqqyu@asaltech.com,1996-03-04,birzeit,85,value1,False,4
267,qossay,2047,Salfit,Female,iqpsaendje@asaltech.com,1991-11-06,al-quds,81,value2,True,6
